title,author,imageURL,genre,noOfPages,publicationDate,rating,noOfPeopleRated,description,bookID
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360936414i/7108725.jpg,Non - fiction,"256 pages, Hardcover","First published October 29, 2009",4.11,220914,"Why do you do what you do?
Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over?
People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all
started with why
. It was their natural ability to start with why that enabled them to inspire those around them and to achieve remarkable things.
In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way—and it's the complete opposite of what everyone else does. Sinek calls this powerful idea The Golden Circle, and it provides a framework upon which organizations can be built, movements can be lead, and people can be inspired. And it all starts with WHY.
Any organization can explain
what
it does; some can explain
how
they do it; but very few can clearly articulate
why
. WHY is not money or profit—those are always results. WHY does your organization exist? WHY does it do the things it does? WHY do customers really buy from one company or another? WHY are people loyal to some leaders, but not others?
Starting with WHY works in big business and small business, in the nonprofit world and in politics. Those who start with WHY never manipulate, they inspire. And the people who follow them don't do so because they have to; they follow because they want to.
Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire. This book is for anyone who wants to inspire others or who wants to find someone to inspire them.",11
The You Beyond You - The Knowledge of the Willing,Ramzi Najjar,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1707712102i/208211055.jpg,Non - fiction,Paperback,"First published July 27, 2020",4.4,263,"The YOU beyond you — A book that will change your perception of life
We always experience life through our subjective perceptions, built-up beliefs, and what we have been taught or told by others and seldomly stop to meditate on the reality which surrounds us.
Most of our beliefs and perceptions today are nothing but a collection of misleading ideas due to the many blockages in our lives, that hinder to a great extent our understanding of our own reality.
This enlightened guide offers the reader a method to dissolve all that is acquired as bad habits, beliefs, and energies, which have been gathered through experiences and passive knowledge and unlocks a new dimension of reality based on its true mechanics and mode of action and based on concepts, principles, and givens never heard of before.
“The YOU beyond you” contains the real secrets of life and how they operate within us and within our environment. A process that occurs right before our eyes yet mostly goes unseen due to the many obstructions in our lives.
A must-read of at least once in a lifetime, for everyone who is willing to experience the real dimension of existence and go beyond the limited norms. The book contains the tip of the iceberg of life’s nature, which one can use as a platform to unveil his full knowledge and his true potentials.
No matter who we are or what our life goal is, our bad habits and unhealthy beliefs are the only reasons that trouble us in becoming the best versions of ourselves.
In this book, you will embark on thorough research on how these bad habits and chaotic knowledge which are gathered through our lives get embedded in our life system and create a negative framework for our lives. You will also be set on an attitude that lets you consciously and unconsciously break free from these limitations and experience the true path where everything prospers.
A guide for readers of all ages, helping them to rise to the level of their life goals. Written with the sole purpose of assisting the reader to understand how mind, body, and soul work within our environment and how these age-old beliefs and perceptions which we accumulated can be turned around, dissolved, or turned into a directed drive to flourish.
Inspired by biological and psychological theories, ideas, and true-life experiences, this comprehensive guide provides you with an extraordinary life approach to reach new heights. The book will truly transform your life.
After reading this book, you will be able to reflect on:
•	How a multitude of habits pollutes our bodies.
•	How to overcome thoughts and ideas that frame our minds.
•	How to eliminate factors that destroy mental peace.
•	How to take control and improve ourselves and the environment around us for self-betterment.
•	How to experience the real secrets of life and understand how they operate.
•	How to be able to use these concepts to bind reality in your way.
•	How to reach spiritual awakening.",12
How to Win Friends and Influence People,Dale Carnegie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442726934i/4865.jpg,Non - fiction,"288 pages, Paperback","First published October 1, 1936",4.22,967229,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!
Since its release in 1936,
How to Win Friends and Influence People
has sold more than 30 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.
As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.
Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.",13
"Eat, Pray, Love",Elizabeth Gilbert,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1503066414i/19501.jpg,Non - fiction,"368 pages, Paperback","First published February 16, 2006",3.62,1735013,"A celebrated writer's irresistible, candid, and eloquent account of her pursuit of worldly pleasure, spiritual devotion, and what she really wanted out of life.
Around the time Elizabeth Gilbert turned thirty, she went through an early-onslaught midlife crisis. She had everything an educated, ambitious American woman was supposed to want—a husband, a house, a successful career. But instead of feeling happy and fulfilled, she was consumed with panic, grief, and confusion. She went through a divorce, a crushing depression, another failed love, and the eradication of everything she ever thought she was supposed to be.
To recover from all this, Gilbert took a radical step. In order to give herself the time and space to find out who she really was and what she really wanted, she got rid of her belongings, quit her job, and undertook a yearlong journey around the world—all alone.
Eat, Pray, Love
is the absorbing chronicle of that year. Her aim was to visit three places where she could examine one aspect of her own nature set against the backdrop of a culture that has traditionally done that one thing very well. In Rome, she studied the art of pleasure, learning to speak Italian and gaining the twenty-three happiest pounds of her life. India was for the art of devotion, and with the help of a native guru and a surprisingly wise cowboy from Texas, she embarked on four uninterrupted months of spiritual exploration. In Bali, she studied the art of balance between worldly enjoyment and divine transcendence. She became the pupil of an elderly medicine man and also fell in love the best way—unexpectedly.
An intensely articulate and moving memoir of self-discovery,
Eat, Pray, Love
is about what can happen when you claim responsibility for your own contentment and stop trying to live in imitation of society’s ideals. It is certain to touch anyone who has ever woken up to the unrelenting need for change.",14
Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435691724i/25066556.jpg,Non - fiction,"352 pages, Hardcover","First published November 3, 2015",3.9,17593,"MORE THAN HALF A MILLION COPIES  Learn the simple techniques you'll need to approach your biggest challenges with confidence.
Have you ever left a nerve-racking challenge and immediately wished for a do over? Maybe after a job interview, a performance, or a difficult conversation? The very moments that require us to be genuine and commanding can instead cause us to feel phony and powerless. Too often we approach our lives' biggest hurdles with dread, execute them with anxiety, and leave them with regret.
By accessing our personal power, we can achieve ""presence,"" the state in which we stop worrying about the impression we're making on others and instead adjust the impression we've been making on ourselves. As Harvard professor Amy Cuddy's revolutionary book reveals, we don't need to embark on a grand spiritual quest or complete an inner transformation to harness the power of presence. Instead, we need to nudge ourselves, moment by moment, by tweaking our body language, behavior, and mind-set in our day-to-day lives.
Amy Cuddy has galvanized tens of millions of viewers around the world with her TED talk about ""power poses."" Now she presents the enthralling science underlying these and many other fascinating body-mind effects, and teaches us how to use simple techniques to liberate ourselves from fear in high-pressure moments, perform at our best, and connect with and empower others to do the same.
Brilliantly researched, impassioned, and accessible, Presence is filled with stories of individuals who learned how to flourish during the stressful moments that once terrified them. Every reader will learn how to approach their biggest challenges with confidence instead of dread, and to leave them with satisfaction instead of regret.
"" Presence feels at once concrete and inspiring, simple but ambitious — above all, truly powerful."" — New York Times Book Review",15
The Prophet,Kahlil Gibran,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547.jpg,Non - fiction,"127 pages, Paperback","First published January 1, 1923",4.23,296322,"Kahlil Gibran’s masterpiece,
The Prophet,
is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.
The Prophet
is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.",16
"Toltec Wisdom
           


           The Four Agreements",Miguel Ruiz,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630664059i/6596.jpg,Non - fiction,"152 pages, Hardcover","First published January 1, 1997",4.19,390077,"In
The Four Agreements
, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, the Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom, true happiness, and love. The Four Agreements are: Be Impeccable With Your Word, Don't Take Anything Personally, Don't Make Assumptions, Always Do Your Best.",17
The Lighthouse Effect: How Ordinary People Can Have an Extraordinary Impact in the World,Steve  Pemberton,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630067393i/58868338.jpg,Non - fiction,"240 pages, Kindle Edition","Published September 28, 2021",4.3,6106,"In this stirring follow-up to his memoir, Steve Pemberton gives practical encouragement for how you can be a ""human lighthouse"" for others and through these inspiring stories will renew your hope for humanity.
Our polarized, divisive culture seems to be without heroes and role models. We are adrift in a dark sea of disillusionment and distrust and we need ""human lighthouses"" to give us hope and direct us back to the goodness in each other and in our own hearts.
Steve Pemberton found a lighthouse in an ordinary man named John Sykes, his former high school counselor. John gave Steve a safe harbor after Steve escaped an abusive foster home and together they navigated a new path that led to personal and professional success. Through stories of people like John and several others, you will identify how the hardships you have overcome equip you to be a ""human lighthouse,"" inspiring those around you.
The humble gestures of kindness that change the course of our lives can shift the course for America too. With a unique vision for building up individuals and communities and restoring trust, The Lighthouse Effect opens your eyes to those who are quietly heroic. You will reflect on the lighthouses in your own life and be reminded that the greatest heroes are alongside us--and within us.",18
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337110319i/13588356.jpg,Non - fiction,"287 pages, Hardcover","First published September 11, 2012",4.29,212189,"Researcher and thought leader Dr. Brené Brown offers a powerful new vision that encourages us to dare greatly: to embrace vulnerability and imperfection, to live wholeheartedly, and to courageously engage in our lives.
“It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; . . . who at best knows in the end the triumph of high achievement, and who at worst, if he fails, at least fails while daring greatly.” —Theodore Roosevelt
Every day we experience the uncertainty, risks, and emotional exposure that define what it means to be vulnerable, or to dare greatly. Whether the arena is a new relationship, an important meeting, our creative process, or a difficult family conversation, we must find the courage to walk into vulnerability and engage with our whole hearts.
In
Daring Greatly
, Dr. Brown challenges everything we think we know about vulnerability. Based on twelve years of research, she argues that vulnerability is not weakness, but rather our clearest path to courage, engagement, and meaningful connection. The book that Dr. Brown’s many fans have been waiting for,
Daring Greatly
will spark a new spirit of truth—and trust—in our organizations, families, schools, and communities.",19
The Art of Happiness,Dalai Lama XIV,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309287434i/38210.jpg,Non - fiction,"322 pages, Hardcover","First published October 26, 1998",4.17,116130,"Nearly every time you see him, he's laughing, or at least smiling. And he makes everyone else around him feel like smiling. He's the Dalai Lama, the spiritual and temporal leader of Tibet, a Nobel Prize winner, and an increasingly popular speaker and statesman. What's more, he'll tell you that happiness is the purpose of life, and that ""the very motion of our life is towards happiness."" How to get there has always been the question. He's tried to answer it before, but he's never had the help of a psychiatrist to get the message across in a context we can easily understand. Through conversations, stories, and meditations, the Dalai Lama shows us how to defeat day-to-day anxiety, insecurity, anger, and discouragement. Together with Dr. Cutler, he explores many facets of everyday life, including relationships, loss, and the pursuit of wealth, to illustrate how to ride through life's obstacles on a deep and abiding source of inner peace.",20
"Rich Dad
            
            #1
           


           Rich Dad, Poor Dad",Robert T. Kiyosaki,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388211242i/69571.jpg,Non - fiction,"195 pages, Paperback","First published April 8, 1997",4.12,611902,"Rich Dad Poor Dad is Robert's story of growing up with two dads — his real father and the father of his best friend, his ""rich dad"" — and the ways in which both men shaped his thoughts about money and investing. The book explodes the myth that you need to earn a high income to be rich and explains the difference between working for money and having your money work for you.",21
She Thinks Like a Boss : Leadership: 9 Essential Skills for New Female Leaders in Business and the Workplace. How to Influence Teams Effectively and Combat Imposter Syndrome,Jemma Roedel,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1621674106i/58118531.jpg,Non - fiction,"130 pages, Kindle Edition","Published May 17, 2021",3.8,644,"Discover how to become an effective woman in leadership -- even if you’re shy, avoid conflict at all costs, or lack confidence. Are you tired of seeing men at work get promoted, be given better assignments, and enjoy pay raises even though you know your skills and results are just as good, if not better? Do you find it difficult to express yourself during work meetings without being hostile or apologetic? Perhaps you're tired of coming home feeling frustrated because you didn't speak up at the meeting, or maybe you feel as though, no matter what you try, people just walk all over you. You know that there must be another way. And you’re right. But don’t help is at hand. In an incredibly male-dominated world, it’s crucial -- now more than ever -- to develop the necessary skills to become an effective leader and start demanding what you deserve . Luckily, it’s easier than you think. You don't have to buy into the self-help industry, which wastes your time, resources and energy on costly and often condescending life coaches and counselling sessions. All you need are easy, proven skills and traits that will help you gradually develop your self-esteem, sharpen your trust, and hone your boundary-setting and communication skills. If you're someone then Jemma Roedel can help you. Many people don’t understand that there’s a lot more to being a leader than just managing people. The first step to thinking like a boss is having the insight and understanding that pioneering successful women have -- and using it to take constructive action. In She Thinks Like a Boss , here’s just a fraction of what you will And much more . Even if you feel uncomfortable or scared to face the issues that being a great leader brings, the key is to dive straight in. In She Thinks Like a Boss , you will be given specific and practical techniques to help you gradually overcome the problems you're facing. You’re on a personal journey, but there are key steps you can take to set you on the path to live the life you dream of and be an inspiration to other women in business. Become an inspirational female leader scroll up, and click the ""Add to Cart"" button right now.",22
Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546097703i/76865.jpg,Non - fiction,"300 pages, Hardcover","First published November 1, 2001",4.14,214182,"To find the keys to greatness, Collins's 21-person research team read and coded 6,000 articles, generated more than 2,000 pages of interview transcripts and created 384 megabytes of computer data in a five-year project. The findings will surprise many readers and, quite frankly, upset others.
The Challenge
Built to Last, the defining management study of the nineties, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the very beginning.
But what about the company that is not born with great DNA? How can good companies, mediocre companies, even bad companies achieve enduring greatness?
The Study
For years, this question preyed on the mind of Jim Collins. Are there companies that defy gravity and convert long-term mediocrity or worse into long-term superiority? And if so, what are the universal distinguishing characteristics that cause a company to go from good to great?
The Standards
Using tough benchmarks, Collins and his research team identified a set of elite companies that made the leap to great results and sustained those results for at least fifteen years. How great? After the leap, the good-to-great companies generated cumulative stock returns that beat the general stock market by an average of seven times in fifteen years, better than twice the results delivered by a composite index of the world's greatest companies, including Coca-Cola, Intel, General Electric, and Merck.
The Comparisons
The research team contrasted the good-to-great companies with a carefully selected set of comparison companies that failed to make the leap from good to great. What was different? Why did one set of companies become truly great performers while the other set remained only good?
The Findings
The findings of the Good to Great study will surprise many readers and shed light on virtually every area of management strategy and practice. The findings include:
Level 5 Leaders: The research team was shocked to discover the type of leadership required to achieve greatness.
The Hedgehog Concept (Simplicity within the Three Circles): To go from good to great requires transcending the curse of competence.
A Culture of Discipline: When you combine a culture of discipline with an ethic of entrepreneurship, you get the magical alchemy of great results. Technology Accelerators: Good-to-great companies think differently about the role of technology.
The Flywheel and the Doom Loop: Those who launch radical change programs and wrenching restructurings will almost certainly fail to make the leap.",23
Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers,Lois P. Frankel,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327912768i/97641.jpg,Non - fiction,"288 pages, Paperback","First published February 11, 2004",3.68,17445,"If you work nonstop without a break...worry about offending others and back down too easily...explain too much when asked for information....or ""poll"" your friends and colleagues before making a decision, chances are you have been bypassed for promotions and ignored when you expressed your ideas. Although you may not be aware of it, girlish behaviors such as these are sabotaging your career!
Dr. Lois Frankel reveals why some women roar ahead in their careers while others stagnate. She's spotted a unique set of behaviors--101 in all--that women learn in girlhood that sabotage them as adults. Now, in this groudbreaking guide, she helps you eliminate these unconscious mistakes that could be holding you back--and offers invaluable coaching tips you can easily incorporate into your social and business skills. If you recognize and change the behaviors that say ""girl"" not ""woman"", the results will pay off in carrer opportunites you never thought possible--and in an image that identifies you as someone with the power and know-how to occupy the corner office.",24
