event_id,domain,title,date,time,location,speaker,event_mode,description
65,Marketing,Growth Hacking Marketing Event,2024-08-20,18:00,Guntur,Michael Johnson,Conference,Create engaging content to attract and retain customers through Growth Hacking
66,Computer Science,JavaScript Computer Science Event,2024-08-23,09:00,Pimpri-Chinchwad,Evelyn Brown,Meetup,Secure applications and networks with JavaScript
69,Finance,Venture Capital Finance Event,2024-07-01,09:00,Gulbarga,Ella Martinez,Meetup,Analyze financial markets and execute trades as Venture Capital
71,Marketing,Mobile Marketing Marketing Event,2023-12-05,12:00,Saharanpur,Mason Anderson,Meetup,Optimize search engine visibility through Mobile Marketing techniques
72,Marketing,Native Advertising Marketing Event,2024-10-30,15:00,Erode,Emily Thompson,Conference,Develop digital marketing campaigns using Native Advertising strategies
73,Marketing,Email Marketing Marketing Event,2024-10-08,15:00,Mumbai,Ava Anderson,Conference,Utilize mobile platforms for advertising and promotion with Email Marketing
74,Data Science,Tableau Data Science Event,2023-03-28,18:00,Aurangabad,Carter Thompson,Conference,Explore machine learning techniques with Tableau
75,Cloud Computing,Alibaba Cloud Cloud Computing Event,2023-08-18,11:00,Ranchi,Ella Harris,Webinar,Leverage Alibaba Cloud for big data analytics and machine learning
78,Machine Learning,PyTorch Machine Learning Event,2025-02-03,18:00,Gwalior,Mia Davis,Webinar,Explore ensemble learning methods with PyTorch
79,DevOps,Oracle Cloud DevOps Event,2025-03-13,09:00,Hyderabad,Ethan Martin,Webinar,Implement multi-cloud and hybrid cloud architectures with Oracle Cloud
80,Engineering,Engineering Management Engineering Event,2023-11-18,12:00,Cuttack,Charlotte Harris,Conference,"Plan, design, and oversee construction projects as a Engineering Management"
81,DevOps,DigitalOcean DevOps Event,2023-09-13,13:00,Firozabad,Samuel Martin,Workshop,Optimize cost and resource utilization in cloud environments with DigitalOcean
83,Artificial Intelligence,Autonomous Vehicle Engineer Artificial Intelligence Event,2024-02-04,15:00,Jaipur,Jackson Martinez,Workshop,Utilize Autonomous Vehicle Engineer for data-driven decision-making
85,Marketing,Guerrilla Marketing Marketing Event,2023-08-19,18:00,Gurgaon,Mason Anderson,Conference,Create compelling video content for Guerrilla Marketing campaigns
86,Human Resource,HR Generalist Human Resource Event,2024-04-30,17:00,Chennai,Ethan Brown,Conference,Facilitate organizational change initiatives as a HR Generalist
87,DevOps,Nomad DevOps Event,2023-07-26,13:00,Kolhapur,Isabella Martinez,Conference,Implement infrastructure as code (IaC) using Nomad
88,Student,Non-traditional Student Student Event,2025-02-10,13:00,Jaipur,Mia Hernandez,Meetup,Select courses and majors aligned with career goals as a Non-traditional Student
89,Frontend Development,Semantic UI Frontend Development Event,2025-02-20,15:00,Chennai,Alexander Hernandez,Conference,Develop cross-platform mobile applications with Semantic UI
90,Marketing,Marketing Automation Marketing Event,2023-05-18,10:00,Chennai,Aiden Davis,Workshop,Design and execute targeted email campaigns with Marketing Automation
93,Engineering,Nuclear Engineering Engineering Event,2024-05-28,17:00,Belgaum,Evelyn Young,Meetup,Design medical devices and technologies as a Nuclear Engineering
94,Engineering,Automotive Engineering Engineering Event,2024-04-24,09:00,Nellore,David Hernandez,Conference,Build and maintain software applications and systems as a Automotive Engineering
96,Data Analysis,Data Analyst Data Analysis Event,2024-02-22,10:00,Ghaziabad,Mason Hernandez,Conference,Gather and analyze market data to inform business strategies and decisions as a Data Analyst
97,Education,Education Coordinator Education Event,2024-02-03,14:00,Kolkata,Ethan Jones,Meetup,Evaluate educational programs and interventions for effectiveness as a Education Coordinator
99,Computer Science,SQL Computer Science Event,2025-02-21,11:00,Allahabad,Matthew Anderson,Webinar,Learn database management and querying with SQL
100,Healthcare,Biomedical Engineering Healthcare Event,2024-12-19,10:00,Guntur,Jackson Brown,Workshop,Dispense medications and provide pharmaceutical care as a Biomedical Engineering
101,Finance,Algorithmic Trading Finance Event,2025-01-02,11:00,Vadodara,Isabella Anderson,Workshop,Analyze financial statements and ratios using Algorithmic Trading
102,Photography,Canon Photography Event,2024-05-22,17:00,Salem,Madison Harris,Webinar,Utilize Canon lenses for various photography genres
104,Software Engineer,Firmware Engineer Software Engineer Event,2024-03-03,13:00,Jhansi,Mia Garcia,Conference,Create interactive and immersive gaming experiences as a Firmware Engineer
105,Finance,Asset Management Finance Event,2023-09-22,12:00,Gurgaon,Isabella Lewis,Meetup,Analyze real estate investment opportunities with Asset Management
106,Artificial Intelligence,Natural Language Processing Engineer Artificial Intelligence Event,2023-09-14,12:00,Siliguri,Olivia Lewis,Conference,Analyze large datasets using Natural Language Processing Engineer techniques
107,Frontend Development,Gatsby Frontend Development Event,2024-01-06,18:00,Jamnagar,Joshua Garcia,Webinar,Utilize Gatsby for server-side rendering
108,Cloud Computing,iCloud Cloud Computing Event,2023-06-10,09:00,Salem,Sophia Garcia,Meetup,Automate infrastructure provisioning and management with iCloud Resource Manager
111,Healthcare,Pharmacy Healthcare Event,2024-08-29,16:00,Asansol,Carter Martin,Meetup,Perform laboratory tests and analyze results using Pharmacy
113,Accounting,Xero Accounting Event,2024-02-02,16:00,Cuttack,Sophia Thomas,Meetup,Perform financial analysis using Xero
115,Education,Library Media Specialist Education Event,2024-05-13,14:00,Vadodara,Ella Young,Conference,Integrate technology into teaching and learning processes as a Library Media Specialist
117,Data Analysis,Business Analyst Data Analysis Event,2023-04-07,11:00,Vadodara,David Lee,Meetup,Utilize data visualization techniques to present findings and trends as a Business Analyst
118,Data Analysis,Data Scientist Data Analysis Event,2025-03-02,13:00,Bhilai,Liam Martinez,Webinar,Perform regression and forecasting analysis to predict future outcomes as a Data Scientist
120,Healthcare,Healthcare Informatics Healthcare Event,2024-10-08,14:00,Asansol,Joshua Thompson,Conference,Assign appropriate medical codes to diagnoses and procedures as a Healthcare Informatics
121,Education,Technology Integration Specialist Education Event,2024-07-07,09:00,Namakkal,Sophia Hernandez,Webinar,Design and implement curriculum and instructional materials as a Technology Integration Specialist
122,Computer Science,Objective-C Computer Science Event,2024-02-12,14:00,Namakkal,Emily Garcia,Conference,Master Objective-C programming language
123,Accounting,FreshBooks Accounting Event,2024-06-20,12:00,Meerut,Olivia Martin,Webinar,Integrate FreshBooks with banking transactions
124,Finance,Quantitative Finance Finance Event,2023-05-08,13:00,Jamnagar,Madison Brown,Conference,Understand fixed income securities in Quantitative Finance
125,MLOps,CML MLOps Event,2024-08-18,14:00,Hyderabad,Sophia Taylor,Conference,Implement model performance monitoring and drift detection with CML
126,Cloud Computing,VMware Cloud Cloud Computing Event,2023-05-30,18:00,Coimbatore,Charlotte Taylor,Webinar,Implement cloud security best practices with VMware Cloud
128,Software Engineer,Machine Learning Engineer Software Engineer Event,2023-06-16,11:00,Kochi,Andrew Taylor,Conference,Build server-side applications and APIs using Machine Learning Engineer technologies as a Machine Learning Engineer
129,MLOps,GitLab CI/CD MLOps Event,2023-09-20,15:00,Jalandhar,Ella Anderson,Webinar,Automate data versioning and pipeline tracking with GitLab CI/CD
130,Cloud Computing,OpenShift Cloud Computing Event,2025-01-03,16:00,Kanpur,Michael Johnson,Meetup,Implement cloud security best practices with OpenShift
131,Software Engineer,Network Engineer Software Engineer Event,2023-03-31,15:00,Nagpur,Emma Thompson,Workshop,Design and execute software testing strategies as a Network Engineer
135,Education,Online Instructor Education Event,2024-12-25,16:00,Surat,James Jackson,Webinar,Create engaging learning experiences with Online Instructor
137,Frontend Development,jQuery Frontend Development Event,2024-02-29,12:00,Lucknow,Aiden Young,Conference,Explore component-based architecture with jQuery
138,Education,Education Program Manager Education Event,2024-01-02,09:00,Jamshedpur,Ava Lewis,Conference,Conduct research on teaching and learning effectiveness as a Education Program Manager
139,Marketing Specialist,Media Planner Marketing Specialist Event,2024-10-13,16:00,Amravati,Olivia Martin,Webinar,Coordinate advertising campaigns and promotional activities to drive customer engagement as a Media Planner
140,DevOps,AWS DevOps Event,2023-08-12,11:00,Rajkot,Ella Garcia,Meetup,Orchestrate containerized applications with AWS
141,Photography,Nikon Photography Event,2024-05-11,09:00,Villupuram,Mia Young,Conference,Learn portrait photography techniques with Nikon
142,Photography,Ricoh Photography Event,2024-12-20,10:00,Tirunelveli,James Lewis,Meetup,Understand the principles of exposure with Ricoh
143,Frontend Development,Next.js Frontend Development Event,2023-04-07,18:00,Jamshedpur,Isabella Anderson,Meetup,Create accessible web applications with Next.js
144,Data Analysis,Web Analyst Data Analysis Event,2024-10-22,13:00,Karur,Emily Thompson,Conference,Develop dashboards and reports to communicate insights and recommendations as a Web Analyst
146,DevOps,Rancher DevOps Event,2024-03-06,13:00,Patna,Avery Brown,Workshop,Monitor and optimize system performance using Rancher
148,Accounting,NetSuite Accounting Event,2024-10-11,09:00,Rajkot,Evelyn Young,Meetup,Utilize NetSuite for budgeting and forecasting
149,Student,Senior Student Event,2024-07-12,11:00,Vijayawada,Jackson Garcia,Conference,Seek mentorship and guidance from professors and advisors as a Senior
150,Photography,Sony Photography Event,2024-12-08,10:00,Kolkata,David Harris,Conference,Capture stunning images with Sony camera
151,Cloud Computing,Cloud Foundry Cloud Computing Event,2024-06-05,16:00,Akola,Ava Hernandez,Webinar,Learn cloud computing fundamentals with Cloud Foundry
152,Marketing,Community Management Marketing Event,2023-07-17,17:00,Pimpri-Chinchwad,Aiden Young,Webinar,Utilize mobile platforms for advertising and promotion with Community Management
153,Cloud Computing,Adobe Cloud Cloud Computing Event,2025-03-07,11:00,Villupuram,Mia Thompson,Conference,Optimize cost and performance in Adobe Cloud cloud environments
155,MLOps,Vertex AI MLOps Event,2023-05-07,09:00,Nagpur,Emily Thompson,Workshop,Implement continuous integration and continuous deployment (CI/CD) for machine learning pipelines using Vertex AI
156,Engineering,Aerospace Engineering Engineering Event,2025-01-16,17:00,Thiruvananthapuram,Ava Harris,Webinar,Develop processes and systems for chemical manufacturing as a Aerospace Engineering
157,Cloud Computing,DigitalOcean Cloud Computing Event,2024-01-23,13:00,Madurai,Grace Hernandez,Webinar,Learn cloud computing fundamentals with DigitalOcean
158,Photography,Panasonic Photography Event,2023-05-07,09:00,Guntur,Alexander Lewis,Webinar,Utilize Panasonic accessories for creative photography
159,Finance,Wealth Management Finance Event,2025-03-10,12:00,Dindigul,Mason Anderson,Workshop,Conduct due diligence processes in Wealth Management
160,Student,Bachelor's Student Student Event,2023-10-14,10:00,Chennai,Samuel Hernandez,Meetup,Seek mentorship and guidance from professors and advisors as a Bachelor's Student
161,Culinary Science,Food Chemistry Culinary Science Event,2023-04-28,16:00,Kota,Ava Lewis,Meetup,Understand the chemical reactions that occur during cooking and food preparation in Food Chemistry
162,Cloud Computing,Red Hat OpenStack Cloud Computing Event,2023-05-24,10:00,Coimbatore,Jessica Martinez,Webinar,Utilize serverless computing services in Red Hat OpenStack
164,Artificial Intelligence,Data Scientist Artificial Intelligence Event,2025-02-03,17:00,Kochi,Ethan Hernandez,Webinar,Conduct cutting-edge research in artificial intelligence as an Data Scientist
166,Cloud Computing,Dropbox Cloud Computing Event,2023-12-17,15:00,Hyderabad,Amelia Taylor,Webinar,Implement cloud security best practices with Dropbox
167,Frontend Development,Svelte Frontend Development Event,2024-11-21,09:00,Bhiwandi,Anthony Jones,Conference,Build dynamic user interfaces with Svelte
168,Finance,Insurance Finance Event,2023-12-09,09:00,Nanded,Aiden Thompson,Conference,Create customized financial plans for clients with Insurance expertise
170,Marketing Specialist,Event Coordinator Marketing Specialist Event,2024-11-12,11:00,Agra,Ella Lewis,Conference,Conduct A/B testing and experimentation to improve marketing effectiveness as a Event Coordinator
173,Education,Guidance Counselor Education Event,2024-07-25,11:00,Namakkal,Isabella Lewis,Webinar,Develop and implement individualized education plans for students with special needs as a Guidance Counselor
175,Computer Science,C++ Computer Science Event,2024-12-21,17:00,Bangalore,Matthew Hernandez,Workshop,Explore the fundamentals of C++ programming
176,Finance,Commercial Banking Finance Event,2024-03-05,18:00,Kolhapur,Andrew Martinez,Workshop,Analyze real estate investment opportunities with Commercial Banking
180,Student,Sophomore Student Event,2023-08-20,15:00,Kolhapur,Abigail Thompson,Webinar,Pursue academic excellence as a Sophomore
181,Student,Full-time Student Student Event,2024-03-11,17:00,Ghaziabad,Joseph Hernandez,Workshop,Prepare for standardized tests and exams as a Full-time Student
182,Marketing Specialist,Marketing Coordinator Marketing Specialist Event,2025-01-28,09:00,Vellore,Joseph Young,Workshop,Create press releases and media pitches to secure coverage and exposure as a Marketing Coordinator
184,Accounting,SAP ERP Accounting Event,2023-05-12,11:00,Firozabad,Jackson Hernandez,Webinar,Implement inventory tracking with SAP ERP
185,Student,International Student Student Event,2023-05-03,09:00,Ulhasnagar,Matthew Anderson,Webinar,Plan for graduate school or professional programs as a International Student
187,DevOps,Salesforce Cloud DevOps Event,2023-06-24,09:00,Agra,Ava Harris,Workshop,Automate software deployment and updates with Salesforce Cloud
188,Culinary Science,Farm-to-Table Cuisine Culinary Science Event,2024-09-05,11:00,Aurangabad,Liam Hernandez,Conference,Hands-on experience with Farm-to-Table Cuisine principles
190,Marketing Specialist,Digital Analyst Marketing Specialist Event,2024-04-21,10:00,Nagpur,Samuel Young,Workshop,Develop content plans and editorial calendars to drive engagement and conversion as a Digital Analyst
192,Marketing,Experiential Marketing Marketing Event,2024-05-24,17:00,Chandigarh,Samuel Thompson,Conference,Create engaging content to attract and retain customers through Experiential Marketing
194,Blockchain,Stellar Blockchain Event,2023-08-08,14:00,Jammu,Avery Hernandez,Meetup,Conduct blockchain consensus mechanism research with Stellar
195,Accounting,Sage Accounting Event,2023-10-22,15:00,Raipur,James Lewis,Meetup,Utilize Sage for budgeting and forecasting
196,Artificial Intelligence,Robotics Engineer Artificial Intelligence Event,2025-01-31,13:00,Pune,Isabella Young,Webinar,Develop and deploy machine learning models as a Robotics Engineer
198,DevOps,CloudFoundry DevOps Event,2024-07-12,18:00,Kota,Amelia Taylor,Webinar,Implement infrastructure as code (IaC) using CloudFoundry
199,Human Resource,Training Specialist Human Resource Event,2024-02-28,13:00,Belgaum,Madison Brown,Conference,Identify and attract top talent for organizational needs as a Training Specialist
200,Student,PhD Student Student Event,2024-02-01,11:00,Visakhapatnam,Mason Hernandez,Conference,Seek mentorship and guidance from professors and advisors as a PhD Student
203,Computer Science,Haskell Computer Science Event,2023-11-30,09:00,Bangalore,Ava Thompson,Meetup,Build real-world projects using Haskell
205,DevOps,Consul DevOps Event,2024-04-22,17:00,Tiruchirappalli,Chloe Thomas,Webinar,Optimize cost and resource utilization in cloud environments with Consul
206,MLOps,Flyte MLOps Event,2025-01-14,16:00,Meerut,Isabella Johnson,Meetup,Implement model performance monitoring and drift detection with Flyte
207,Marketing,Public Relations Marketing Event,2025-02-12,12:00,Bhopal,Jane Smith,Conference,Create compelling video content for Public Relations campaigns
208,Data Science,NumPy Data Science Event,2024-06-18,10:00,Bhiwandi,Amelia Lewis,Conference,Master statistical hypothesis testing with NumPy
209,Marketing Specialist,Market Research Analyst Marketing Specialist Event,2024-07-08,18:00,Vasai-Virar,Alexander Hernandez,Webinar,Create compelling and persuasive content for marketing materials as a Market Research Analyst
210,Artificial Intelligence,Chatbot Developer Artificial Intelligence Event,2024-11-23,12:00,Noida,Matthew Hernandez,Workshop,Utilize Chatbot Developer for data-driven decision-making
211,Engineering,Systems Engineering Engineering Event,2023-07-22,12:00,Madurai,Mia Garcia,Meetup,Develop processes and systems for chemical manufacturing as a Systems Engineering
214,DevOps,Ansible DevOps Event,2023-05-30,13:00,Jammu,Isabella Lewis,Meetup,Monitor and optimize system performance using Ansible
215,Computer Science,Scala Computer Science Event,2023-10-15,14:00,Bhavnagar,Jackson Thomas,Webinar,Master Scala programming language
216,Software Engineer,Cloud Solutions Architect Software Engineer Event,2024-08-19,13:00,Navi Mumbai,James Harris,Workshop,Build responsive and scalable web applications as a Cloud Solutions Architect
217,Software Engineer,Full Stack Developer Software Engineer Event,2024-08-18,12:00,Guwahati,Madison Martin,Meetup,Architect and deploy cloud-native solutions using Full Stack Developer services as a Full Stack Developer
218,Data Science,Scikit-learn Data Science Event,2023-03-31,11:00,Jalandhar,Charlotte Harris,Workshop,Apply Scikit-learn for sentiment analysis
219,Data Analysis,Sales Analyst Data Analysis Event,2024-03-07,18:00,Kalyan-Dombivali,Chloe Martinez,Workshop,Evaluate healthcare data to identify trends and improve patient outcomes as a Sales Analyst
220,Healthcare,Radiologic Technology Healthcare Event,2023-08-15,13:00,Nashik,Mia Young,Conference,Create customized diet plans based on Radiologic Technology principles
223,Machine Learning,CatBoost Machine Learning Event,2023-04-17,12:00,Namakkal,Samuel White,Meetup,Implement dimensionality reduction with CatBoost
224,Machine Learning,NumPy Machine Learning Event,2024-09-10,13:00,Gwalior,Carter White,Webinar,Explore ensemble learning methods with NumPy
227,Data Analysis,Social Media Analyst Data Analysis Event,2024-04-26,10:00,Allahabad,Avery Hernandez,Conference,Develop dashboards and reports to communicate insights and recommendations as a Social Media Analyst
230,DevOps,Google Cloud DevOps Event,2024-11-18,13:00,Delhi,James Harris,Meetup,Ensure compliance and governance in cloud deployments with Google Cloud
231,Human Resource,Employee Relations Specialist Human Resource Event,2023-05-06,16:00,Coimbatore,Madison Hernandez,Workshop,Develop and deliver training programs to enhance employee skills and performance as a Employee Relations Specialist
232,Artificial Intelligence,AI Ethics Specialist Artificial Intelligence Event,2024-10-29,13:00,Aurangabad,Olivia White,Webinar,Implement reinforcement learning algorithms with AI Ethics Specialist
233,Engineering,Chemical Engineering Engineering Event,2024-09-01,15:00,Thoothukudi,David Martinez,Meetup,Perform structural analysis and design in Chemical Engineering
237,Engineering,Electrical Engineering Engineering Event,2023-06-11,13:00,Durgapur,Ethan Thompson,Workshop,Optimize manufacturing processes and systems as a Electrical Engineering
239,Computer Science,R Computer Science Event,2023-05-09,15:00,Chandigarh,Ethan Taylor,Conference,Master R programming language
240,Data Analysis,Operations Analyst Data Analysis Event,2023-09-13,09:00,Kota,Sophia Martinez,Meetup,Analyze sales data to identify opportunities for revenue growth and market expansion as a Operations Analyst
241,DevOps,Nagios DevOps Event,2024-12-25,10:00,Jammu,Emma Young,Workshop,Ensure compliance and governance in cloud deployments with Nagios
243,Human Resource,Organizational Development Consultant Human Resource Event,2024-07-28,16:00,Chennai,Andrew Harris,Workshop,Facilitate organizational change initiatives as a Organizational Development Consultant
244,Healthcare,Healthcare Administration Healthcare Event,2023-10-15,16:00,Namakkal,Carter Thompson,Conference,Help patients recover from injuries or illnesses through Healthcare Administration techniques
249,Blockchain,Bitcoin Blockchain Event,2024-09-30,11:00,Guntur,Emma Thompson,Meetup,Develop decentralized applications (DApps) on Bitcoin platform
250,Marketing Specialist,SEO Specialist Marketing Specialist Event,2024-07-23,17:00,Villupuram,Chloe Johnson,Meetup,Create compelling and persuasive content for marketing materials as a SEO Specialist
